Number,Package Name,Version,Description,Category
305,toolz,0.12.0,List processing tools and functional utilities.,Data Processing and Analysis
306,torch,1.10.0,"PyTorch is an open source machine learning library, providing tensors with strong GPU acceleration.",Data Science & ML
307,torchaudio,0.10.0,An extension library of PyTorch for working with audio data.,Audio & Video Processing
308,torchtext,0.6.0,Data loaders and abstractions for text and NLP.,Text Processing & NLP
309,torchvision,0.11.1,"Datasets, transforms, and models for images, with a focus on deep learning and multi-modal inputs.",Image Processing
310,tornado,6.3.2,Tornado is a Python web framework and asynchronous networking library.,Web Development
311,tqdm,4.64.0,"Fast, extensible progress bar for loops and CLI.",Command Line Interfaces
312,traitlets,5.9.0,Configuration system for Python applications.,Cross-platform
313,trimesh,3.9.29,"Import, export, process, analyze and view triangular meshes.",Image Processing
314,typer,0.4.2,"Typer, build great CLIs. Easy to code. Based on Python type hints.",Command Line Interfaces
315,typing-extensions,4.5.0,Backported and Experimental Type Hints for Python.,Cross-platform
316,tzlocal,5.0.1,A Python module that tries to figure out what your local timezone is.,Date & Time
317,ujson,5.8.0,UltraJSON is an ultra fast JSON encoder and decoder written in pure C with bindings for Python 3.6+.,Data Processing and Analysis
318,unattended-upgrades,0.1,Python module that allows automatic installation of security upgrades.,Cross-platform
319,urllib3,1.25.8,"HTTP library with thread-safe connection pooling, file post, and more.",Networking
320,uvicorn,0.22.0,The lightning-fast ASGI server.,Web Development
321,uvloop,0.17.0,Ultra fast asyncio event loop.,Asynchronous Programming
322,wand,0.6.11,Ctypes-based simple MagickWand API binding for Python.,Image Processing
323,wasabi,0.10.1,A lightweight console printing and formatting toolkit.,Command Line Interfaces
324,watchfiles,0.19.0,A simple module for monitoring changes in files and/or directories.,File Manipulation
325,wcwidth,0.2.6,Measures the number of terminal column cells of wide-character codes.,Unicode & Encoding
326,weasyprint,53.3,"WeasyPrint converts web documents (HTML with CSS, SVG, …) to PDF.",File Manipulation
327,webencodings,0.5.1,Character encoding aliases for legacy web content.,Unicode & Encoding
328,websocket-client,1.6.1,Websocket client for python. Multi-platform support.,Networking
329,websockets,10.3,An implementation of the WebSocket Protocol (RFC 6455 & 7692).,Networking
330,werkzeug,2.3.6,The comprehensive WSGI web application library.,Web Development
331,wheel,0.34.2,A built-package format for Python.,File Manipulation
332,wordcloud,1.8.1,A simple wordcloud generator in Python.,Data Visualization
333,wrapt,1.15.0,"A module for decorators, wrappers and monkey patching.",Asynchronous Programming
334,wsproto,1.2.0,"Pure Python, bring your own I/O.",Networking
335,xarray-einstats,0.5.1,"A package that provides a number of statistical functions for xarray datasets. This includes functions for calculating summary statistics, fitting statistical models, and performing hypothesis tests.",Math & Statistics
336,xarray,2023.1.0,"An open source project and Python package that aims to bring the labeled data power of pandas to the physical sciences, by providing N-dimensional variants of the core pandas data structures.",Data Science & ML
337,xgboost,1.4.2,XGBoost is an optimized distributed gradient boosting library.,Data Science & ML
338,xlrd,1.2.0,Library for developers to extract data from Microsoft Excel (tm) spreadsheet files.,File Manipulation
339,xlsxwriter,3.1.2,A Python module for creating Excel XLSX files.,File Manipulation
340,xml-python,0.4.3,A Python wrapper for the XML C parser. It provides Pythonic access to XML documents and strings.,Text Processing & NLP
341,yarl,1.9.2,Yet another URL library. It provides a handy URL class for URL parsing and changing.,Networking
342,zipp,3.15.0,Backport of pathlib-compatible object wrapper for zip files.,File Manipulation
343,zopfli,0.2.2,Python bindings for Google's Zopfli compression algorithm.,File Manipulation
